flag,default,test_value,flash_bytes,flash_percent
ENABLE_UART,1,0,BUILD_FAILED,BUILD_FAILED
ENABLE_AIRCOPY,1,0,50156,KB
ENABLE_FMRADIO,0,1,56344,KB
ENABLE_NOAA,0,1,53496,KB
ENABLE_VOICE,0,1,53664,KB
ENABLE_VOX,0,1,BUILD_FAILED,BUILD_FAILED
ENABLE_ALARM,0,1,52896,KB
ENABLE_TX1750,0,1,52364,KB
ENABLE_PWRON_PASSWORD,0,1,52004,KB
ENABLE_DTMF_CALLING,0,1,55088,KB
ENABLE_FLASHLIGHT,0,1,52344,KB
ENABLE_BIG_FREQ,1,0,51980,KB
ENABLE_SMALL_BOLD,1,0,BUILD_FAILED,BUILD_FAILED
ENABLE_CUSTOM_MENU_LAYOUT,0,1,52028,KB
ENABLE_KEEP_MEM_NAME,0,1,52100,KB
ENABLE_WIDE_RX,1,0,52016,KB
ENABLE_TX_WHEN_AM,0,1,52080,KB
ENABLE_F_CAL_MENU,0,1,52264,KB
ENABLE_CTCSS_TAIL_PHASE_SHIFT,0,1,52092,KB
ENABLE_BOOT_BEEPS,0,1,52132,KB
ENABLE_SHOW_CHARGE_LEVEL,0,1,52180,KB
ENABLE_REVERSE_BAT_SYMBOL,0,1,52092,KB
ENABLE_NO_CODE_SCAN_TIMEOUT,1,0,52116,KB
ENABLE_SQUELCH_MORE_SENSITIVE,1,0,51992,KB
ENABLE_FASTER_CHANNEL_SCAN,1,0,52092,KB
ENABLE_RSSI_BAR,1,0,51728,KB
ENABLE_AUDIO_BAR,1,0,51812,KB
ENABLE_COPY_CHAN_TO_VFO,0,1,52212,KB
ENABLE_SPECTRUM,0,1,57952,KB
ENABLE_REDUCE_LOW_MID_TX_POWER,0,1,52180,KB
ENABLE_BYP_RAW_DEMODULATORS,0,1,52108,KB
ENABLE_BLMIN_TMP_OFF,0,1,52192,KB
ENABLE_SCAN_RANGES,0,1,52404,KB
ENABLE_AGC_SHOW_DATA,0,1,52264,KB
ENABLE_UART_RW_BK_REGS,0,1,52168,KB
ENABLE_CLANG,0,1,52092,KB
ENABLE_SWD,0,1,52092,KB
ENABLE_OVERLAY,0,1,BUILD_FAILED,BUILD_FAILED
ENABLE_LTO,1,0,52092,KB
ENABLE_MESSENGER,1,0,BUILD_FAILED,BUILD_FAILED
ENABLE_MESSENGER_DELIVERY_NOTIFICATION,1,0,51968,KB
ENABLE_MESSENGER_NOTIFICATION,1,0,52032,KB
ENABLE_MESSENGER_UART,1,0,52068,KB
ENABLE_PMR_MODE,0,1,BUILD_FAILED,BUILD_FAILED
ENABLE_POCSAG_SEND,0,1,52092,KB
ENABLE_SCREEN_DUMP,0,1,52316,KB
BASELINE, , ,52092,KB
